Epoch,Train Loss,Valid Loss,Train Accuracy,Valid Accuracy
1,0.15464158251550464,0.1646202535961162,42.674522399902344,36.73542022705078
2,0.11264093726873398,0.1447279087521813,60.849266052246094,47.86628723144531
3,0.07148615520861414,0.14369759284256195,77.08981323242188,52.098148345947266
4,0.04354770039849811,0.16278506424913014,86.60515594482422,51.955902099609375
5,0.026916246798769052,0.17612091716066722,92.89684295654297,52.38264846801758
